,序号,出现频率最高的地址,最高重复次数,各数据出现次数
14,15,北京市朝阳区豆各庄地区办事处孙家坡村朝阳区双桥孙家坡村,1,{'北京市朝阳区豆各庄地区办事处孙家坡村朝阳区双桥孙家坡村': 1}
15,16,北京市朝阳区豆各庄地区办事处马家湾村朝阳区水牛坊村东100米路南,1,{'北京市朝阳区豆各庄地区办事处马家湾村朝阳区水牛坊村东100米路南': 1}
16,17,北京市朝阳区豆各庄地区办事处于家围南队村中,1,{'北京市朝阳区豆各庄地区办事处于家围南队村中': 1}
17,18,北京市朝阳区豆各庄地区办事处于家围北队村石槽电管站后面110号,1,{'北京市朝阳区豆各庄地区办事处于家围北队村石槽电管站后面110号': 1}
18,19,北京市朝阳区豆各庄地区办事处于家围北队村于家围,1,{'北京市朝阳区豆各庄地区办事处于家围北队村于家围': 1}
19,20,北京市朝阳区豆各庄地区办事处于家围北队村于家围东双桥电管站内,1,{'北京市朝阳区豆各庄地区办事处于家围北队村于家围东双桥电管站内': 1}
20,21,北京市朝阳区豆各庄地区办事处于家围北队村朝阳区豆各庄乡石槽村西电管站后面院内,1,{'北京市朝阳区豆各庄地区办事处于家围北队村朝阳区豆各庄乡石槽村西电管站后面院内': 1}
21,22,北京市朝阳区豆各庄地区办事处于家围北队村于家围,1,{'北京市朝阳区豆各庄地区办事处于家围北队村于家围': 1}
22,23,北京市朝阳区豆各庄地区办事处于家围北队村石槽电管站后面,1,{'北京市朝阳区豆各庄地区办事处于家围北队村石槽电管站后面': 1}
23,24,北京市朝阳区豆各庄地区办事处西马各庄村朝阳区豆各庄乡西马村南侧300米,1,{'北京市朝阳区豆各庄地区办事处西马各庄村朝阳区豆各庄乡西马村南侧300米': 1}
24,25,北京市朝阳区豆各庄地区办事处于家围北队村京沈豆各庄出口北边,1,{'北京市朝阳区豆各庄地区办事处于家围北队村京沈豆各庄出口北边': 1}
25,26,北京市朝阳区豆各庄地区办事处石槽村内,1,{'北京市朝阳区豆各庄地区办事处石槽村内': 1}
26,27,北京市朝阳区豆各庄地区办事处西马各庄村朝阳区豆各庄乡西马各庄村西马南路2号院,1,{'北京市朝阳区豆各庄地区办事处西马各庄村朝阳区豆各庄乡西马各庄村西马南路2号院': 1}
27,28,北京市朝阳区豆各庄地区办事处于家围南队村朝阳区豆各庄乡于家围南村内100米,1,{'北京市朝阳区豆各庄地区办事处于家围南队村朝阳区豆各庄乡于家围南村内100米': 1}
28,29,北京市朝阳区豆各庄地区办事处文化传播社区居委会何家坟村北,1,{'北京市朝阳区豆各庄地区办事处文化传播社区居委会何家坟村北': 1}
29,30,北京市朝阳区豆各庄地区办事处孙家坡村豆各庄乡孙家坡村北6号院西100米,1,{'北京市朝阳区豆各庄地区办事处孙家坡村豆各庄乡孙家坡村北6号院西100米': 1}
30,31,北京市朝阳区豆各庄地区办事处于家围南队村朝阳区豆各庄乡于家围,1,{'北京市朝阳区豆各庄地区办事处于家围南队村朝阳区豆各庄乡于家围': 1}
31,32,北京市朝阳区豆各庄地区办事处马家湾村豆各庄乡孙家坡村6号院,1,{'北京市朝阳区豆各庄地区办事处马家湾村豆各庄乡孙家坡村6号院': 1}
32,33,北京市朝阳区豆各庄地区办事处于家围南队村于家围,1,{'北京市朝阳区豆各庄地区办事处于家围南队村于家围': 1}
33,34,北京市朝阳区豆各庄地区办事处东马各庄村朝阳区豆各庄乡东马各庄村,1,{'北京市朝阳区豆各庄地区办事处东马各庄村朝阳区豆各庄乡东马各庄村': 1}
34,35,北京市朝阳区豆各庄地区办事处水牛坊村水牛房,1,{'北京市朝阳区豆各庄地区办事处水牛坊村水牛房': 1}
35,36,北京市朝阳区豆各庄地区办事处东马各庄村东马各庄,1,{'北京市朝阳区豆各庄地区办事处东马各庄村东马各庄': 1}
36,37,北京市朝阳区豆各庄地区办事处西马各庄村朝阳区豆各庄乡西马各庄村南侧,1,{'北京市朝阳区豆各庄地区办事处西马各庄村朝阳区豆各庄乡西马各庄村南侧': 1}
37,38,北京市朝阳区豆各庄地区办事处石槽村京沈豆各庄出口往北石槽村内,1,{'北京市朝阳区豆各庄地区办事处石槽村京沈豆各庄出口往北石槽村内': 1}
38,39,北京市朝阳区豆各庄地区办事处西马各庄村朝阳区双桥西马各庄村西侧,1,{'北京市朝阳区豆各庄地区办事处西马各庄村朝阳区双桥西马各庄村西侧': 1}
39,40,北京市朝阳区豆各庄地区办事处西马各庄村王村,1,{'北京市朝阳区豆各庄地区办事处西马各庄村王村': 1}
40,41,北京市朝阳区豆各庄地区办事处豆各庄村豆各庄乡(三临)-302,1,{'北京市朝阳区豆各庄地区办事处豆各庄村豆各庄乡(三临)-302': 1}
41,42,北京市朝阳区豆各庄地区办事处孙家坡村水牛房1号南100米,1,{'北京市朝阳区豆各庄地区办事处孙家坡村水牛房1号南100米': 1}
42,43,北京市朝阳区豆各庄地区办事处黄厂村黄厂村,1,{'北京市朝阳区豆各庄地区办事处黄厂村黄厂村': 1}
43,44,北京市朝阳区豆各庄地区办事处东马各庄村西马各庄,1,{'北京市朝阳区豆各庄地区办事处东马各庄村西马各庄': 1}
44,45,北京市朝阳区豆各庄地区办事处于家围南队村于家围村东口电管站对面汽修厂,1,{'北京市朝阳区豆各庄地区办事处于家围南队村于家围村东口电管站对面汽修厂': 1}
45,46,北京市朝阳区豆各庄地区办事处于家围北队村北队场院到头见康城往南,1,{'北京市朝阳区豆各庄地区办事处于家围北队村北队场院到头见康城往南': 1}
46,47,北京市朝阳区豆各庄乡豆各庄村北里22号,1,{'北京市朝阳区豆各庄乡豆各庄村北里22号': 1}
47,48,北京市朝阳区豆各庄1号,1,{'北京市朝阳区豆各庄1号': 1}
48,49,北京市朝阳区豆各庄1号,1,{'北京市朝阳区豆各庄1号': 1}
49,50,北京市朝阳区豆各庄北里22号,1,{'北京市朝阳区豆各庄北里22号': 1}
50,51,北京市朝阳区豆各庄村甲501号5幢126号,1,{'北京市朝阳区豆各庄村甲501号5幢126号': 1}
51,52,北京市朝阳区豆各庄黄厂村,1,{'北京市朝阳区豆各庄黄厂村': 1}
52,53,北京市朝阳区豆各庄西路甲4号,1,{'北京市朝阳区豆各庄西路甲4号': 1}
53,54,北京市朝阳区豆各庄西路甲4号12幢平房,1,{'北京市朝阳区豆各庄西路甲4号12幢平房': 1}
54,55,北京市朝阳区豆各庄西路甲4号厂区南部,1,{'北京市朝阳区豆各庄西路甲4号厂区南部': 1}
55,56,北京市朝阳区豆各庄乡(北京皮革公司化工厂南院),1,"{'北京市朝阳区豆各庄乡(北京皮革公司化工厂南院)': 1, '北京皮革公司化工厂南院)': 1}"
56,57,北京市朝阳区豆各庄乡豆各庄村北里22号,1,{'北京市朝阳区豆各庄乡豆各庄村北里22号': 1}
57,58,北京市朝阳区豆各庄乡豆各庄村村西,1,{'北京市朝阳区豆各庄乡豆各庄村村西': 1}
58,59,北京市朝阳区豆各庄乡何家坟,1,{'北京市朝阳区豆各庄乡何家坟': 1}
59,60,北京市朝阳区豆各庄乡何家坟村,1,{'北京市朝阳区豆各庄乡何家坟村': 1}
60,61,北京市朝阳区豆各庄乡何家坟村北,1,{'北京市朝阳区豆各庄乡何家坟村北': 1}
61,62,北京市朝阳区豆各庄乡何家坟村北,1,{'北京市朝阳区豆各庄乡何家坟村北': 1}
62,63,北京市朝阳区豆各庄乡黄厂村,1,{'北京市朝阳区豆各庄乡黄厂村': 1}
63,64,北京市朝阳区豆各庄乡黄厂村南500米,1,{'北京市朝阳区豆各庄乡黄厂村南500米': 1}
64,65,北京市朝阳区豆各庄乡绿丰家园东侧,1,{'北京市朝阳区豆各庄乡绿丰家园东侧': 1}
65,66,北京市朝阳区豆各庄乡马家湾村,1,{'北京市朝阳区豆各庄乡马家湾村': 1}
66,67,北京市朝阳区豆各庄乡马家湾村村东侧,1,{'北京市朝阳区豆各庄乡马家湾村村东侧': 1}
67,68,北京市朝阳区豆各庄乡马家湾二区８６号,1,{'北京市朝阳区豆各庄乡马家湾二区８６号': 1}
68,69,北京市朝阳区豆各庄乡孟家屯村村南,1,{'北京市朝阳区豆各庄乡孟家屯村村南': 1}
69,70,北京市朝阳区豆各庄乡南何家村(2号库),1,{'北京市朝阳区豆各庄乡南何家村(2号库)': 1}
70,71,北京市朝阳区豆各庄乡石槽村254号,1,{'北京市朝阳区豆各庄乡石槽村254号': 1}
71,72,北京市朝阳区豆各庄乡石槽村256号,1,{'北京市朝阳区豆各庄乡石槽村256号': 1}
72,73,北京市朝阳区豆各庄乡石槽村263号,1,{'北京市朝阳区豆各庄乡石槽村263号': 1}
73,74,北京市朝阳区豆各庄乡石槽村东,1,{'北京市朝阳区豆各庄乡石槽村东': 1}
74,75,北京市朝阳区豆各庄乡石槽村委会院内,1,{'北京市朝阳区豆各庄乡石槽村委会院内': 1}
75,76,北京市朝阳区豆各庄乡石槽村西(纸袋厂)27、28、29、30、31、32、33号,1,{'北京市朝阳区豆各庄乡石槽村西(纸袋厂)27、28、29、30、31、32、33号': 1}
76,77,北京市朝阳区豆各庄乡石槽村西果园仓库5幢,1,{'北京市朝阳区豆各庄乡石槽村西果园仓库5幢': 1}
77,78,北京市朝阳区豆各庄乡水牛坊村村南218号,1,{'北京市朝阳区豆各庄乡水牛坊村村南218号': 1}
78,79,北京市朝阳区豆各庄乡孙家坡,1,{'北京市朝阳区豆各庄乡孙家坡': 1}
79,80,北京市朝阳区豆各庄乡孙家坡411车站路南,1,{'北京市朝阳区豆各庄乡孙家坡411车站路南': 1}
80,81,北京市朝阳区豆各庄乡孙家坡村,1,{'北京市朝阳区豆各庄乡孙家坡村': 1}
81,82,北京市朝阳区豆各庄乡孙家坡村村北,1,{'北京市朝阳区豆各庄乡孙家坡村村北': 1}
82,83,北京市朝阳区豆各庄乡孙家坡水牛房路西,1,{'北京市朝阳区豆各庄乡孙家坡水牛房路西': 1}
83,84,北京市朝阳区豆各庄乡于家围北村北区21号,1,{'北京市朝阳区豆各庄乡于家围北村北区21号': 1}
84,85,北京市朝阳区豆各庄乡于家围北队,1,{'北京市朝阳区豆各庄乡于家围北队': 1}
85,86,北京市朝阳区豆各庄乡于家围村,1,{'北京市朝阳区豆各庄乡于家围村': 1}
86,87,北京市朝阳区豆各庄乡于家围村北,1,{'北京市朝阳区豆各庄乡于家围村北': 1}
87,88,北京市朝阳区豆各庄乡于家围南队村南,1,{'北京市朝阳区豆各庄乡于家围南队村南': 1}
88,89,北京市朝阳区豆各庄乡于家围南队甲66号,1,{'北京市朝阳区豆各庄乡于家围南队甲66号': 1}
89,90,北京市朝阳区豆各庄乡于家围小学,1,{'北京市朝阳区豆各庄乡于家围小学': 1}
90,91,北京市朝阳区黄厂路49号,1,{'北京市朝阳区黄厂路49号': 1}
91,92,北京市朝阳区黄厂南里1号院4号楼1层03,1,{'北京市朝阳区黄厂南里1号院4号楼1层03': 1}
92,93,北京市朝阳区黄厂南里１号院６号楼１９０７,1,{'北京市朝阳区黄厂南里１号院６号楼１９０７': 1}
93,94,北京市朝阳区焦化厂东侧孙家坡村,1,{'北京市朝阳区焦化厂东侧孙家坡村': 1}
94,95,北京市朝阳区久文路6号院121号楼一层103号,1,{'北京市朝阳区久文路6号院121号楼一层103号': 1}
95,96,北京市朝阳区南豆各庄,1,{'北京市朝阳区南豆各庄': 1}
96,97,北京市朝阳区南豆各庄(北京市荧光灯厂),1,{'北京市朝阳区南豆各庄(北京市荧光灯厂)': 1}
97,98,北京市朝阳区南豆各庄(,1,{'北京市朝阳区南豆各庄(': 1}
98,99,北京市朝阳区南豆各庄甲1号,1,{'北京市朝阳区南豆各庄甲1号': 1}
99,100,北京市朝阳区南豆各庄甲1号(第二监狱西侧),1,{'北京市朝阳区南豆各庄甲1号(第二监狱西侧)': 1}
100,101,北京市朝阳区双桥豆各庄,1,{'北京市朝阳区双桥豆各庄': 1}
101,102,北京市朝阳区双桥豆各庄,1,{'北京市朝阳区双桥豆各庄': 1}
102,103,北京市朝阳区双桥豆各庄,1,{'北京市朝阳区双桥豆各庄': 1}
103,104,北京市朝阳区双桥黄厂,1,{'北京市朝阳区双桥黄厂': 1}
104,105,北京市朝阳区双桥路9号,1,{'北京市朝阳区双桥路9号': 1}
105,106,北京市朝阳区双桥农厂孙家坡村办公楼西,1,{'北京市朝阳区双桥农厂孙家坡村办公楼西': 1}
106,107,北京市朝阳区双桥农场豆各庄分场,1,{'北京市朝阳区双桥农场豆各庄分场': 1}
107,108,北京市朝阳区双桥中路,1,{'北京市朝阳区双桥中路': 1}
108,109,北京市朝阳区双桥中路,1,{'北京市朝阳区双桥中路': 1}
109,110,北京市朝阳区双桥中路110号,1,{'北京市朝阳区双桥中路110号': 1}
110,111,北京市朝阳区水牛坊村,1,{'北京市朝阳区水牛坊村': 1}
111,112,北京市朝阳区西马各庄北路,1,{'北京市朝阳区西马各庄北路': 1}
112,113,北京市朝阳区西马各庄大队,1,{'北京市朝阳区西马各庄大队': 1}
113,114,北京市朝阳区豆各庄乡于家围村东3号、10号、11号平房,1,{'北京市朝阳区豆各庄乡于家围村东3号、10号、11号平房': 1}
114,115,北京市朝阳区豆各庄乡西马各庄村101号,1,{'北京市朝阳区豆各庄乡西马各庄村101号': 1}
115,116,北京市朝阳区豆各庄乡石槽村西,1,{'北京市朝阳区豆各庄乡石槽村西': 1}
116,117,北京市朝阳区南豆各庄甲6号,1,{'北京市朝阳区南豆各庄甲6号': 1}
117,118,北京市朝阳区豆各庄乡东马各庄工业园区,1,{'北京市朝阳区豆各庄乡东马各庄工业园区': 1}
118,119,北京市朝阳区豆各庄乡石槽村村东,1,{'北京市朝阳区豆各庄乡石槽村村东': 1}
119,120,北京市朝阳区双桥于围,1,{'北京市朝阳区双桥于围': 1}
120,121,北京市朝阳区双桥中路,1,{'北京市朝阳区双桥中路': 1}
121,122,北京市朝阳区豆各庄乡(北京皮革公司化工厂北院)4号平房5间,1,{'北京市朝阳区豆各庄乡(北京皮革公司化工厂北院)4号平房5间': 1}
122,123,北京市朝阳区豆各庄乡孙家坡村（村南）,1,{'北京市朝阳区豆各庄乡孙家坡村（村南）': 1}
123,124,北京市朝阳区豆各庄乡孙家坡村南,1,{'北京市朝阳区豆各庄乡孙家坡村南': 1}
124,125,北京市朝阳区豆各庄乡于家围北村,1,{'北京市朝阳区豆各庄乡于家围北村': 1}
125,126,北京市朝阳区双桥豆各庄乡豆各庄村,1,{'北京市朝阳区双桥豆各庄乡豆各庄村': 1}
126,127,北京市朝阳区黄厂南里3号院27号楼1层06,1,{'北京市朝阳区黄厂南里3号院27号楼1层06': 1}
127,128,北京市朝阳区豆各庄村甲501号5幢126号,1,{'北京市朝阳区豆各庄村甲501号5幢126号': 1}
128,129,北京市朝阳区焦化厂东侧孙家坡村,1,{'北京市朝阳区焦化厂东侧孙家坡村': 1}
129,130,北京市朝阳区豆各庄乡东马各庄工业园区,1,{'北京市朝阳区豆各庄乡东马各庄工业园区': 1}
130,131,北京市朝阳区豆各庄乡孙家坡,1,{'北京市朝阳区豆各庄乡孙家坡': 1}
131,132,北京市朝阳区南豆各庄甲1号,1,{'北京市朝阳区南豆各庄甲1号': 1}
132,133,北京市朝阳区豆各庄乡石槽村西北,1,{'北京市朝阳区豆各庄乡石槽村西北': 1}
133,134,北京市朝阳区南豆各庄(北京荧光灯厂),1,{'北京市朝阳区南豆各庄(北京荧光灯厂)': 1}
134,135,北京市朝阳区豆各庄1号,1,{'北京市朝阳区豆各庄1号': 1}
135,136,北京市朝阳区西马各庄大队,1,{'北京市朝阳区西马各庄大队': 1}
136,137,北京市朝阳区双桥黄厂,1,{'北京市朝阳区双桥黄厂': 1}
137,138,北京市朝阳区双桥豆各庄,1,{'北京市朝阳区双桥豆各庄': 1}
138,139,北京市朝阳区西马各庄北路,1,{'北京市朝阳区西马各庄北路': 1}
139,140,北京市朝阳区双桥中路,1,{'北京市朝阳区双桥中路': 1}
140,141,北京市朝阳区豆各庄乡于家围16号,1,{'北京市朝阳区豆各庄乡于家围16号': 1}
141,142,北京市朝阳区豆各庄乡孙家坡村,1,{'北京市朝阳区豆各庄乡孙家坡村': 1}
142,143,北京市朝阳区王四营乡南花园村139号,1,{'北京市朝阳区王四营乡南花园村139号': 1}
143,144,北京市朝阳区豆各庄西路甲4号12幢平房,1,{'北京市朝阳区豆各庄西路甲4号12幢平房': 1}
144,145,北京市朝阳区南豆各庄(北京市荧光灯厂),1,{'北京市朝阳区南豆各庄(北京市荧光灯厂)': 1}
145,146,北京市朝阳区南豆各庄甲6号,1,{'北京市朝阳区南豆各庄甲6号': 1}
146,147,北京市朝阳区豆各庄乡于家围北队,1,{'北京市朝阳区豆各庄乡于家围北队': 1}
147,148,北京市朝阳区十八里店西直河村,1,{'北京市朝阳区十八里店西直河村': 1}
148,149,北京市朝阳区垡头十八间房,1,{'北京市朝阳区垡头十八间房': 1}
149,150,北京市朝阳区高碑店乡田家洼甲1号,1,{'北京市朝阳区高碑店乡田家洼甲1号': 1}
150,151,北京市朝阳区豆各庄1号,1,{'北京市朝阳区豆各庄1号': 1}
151,152,北京市朝阳区黄厂南里1号院4号楼1层03,1,{'北京市朝阳区黄厂南里1号院4号楼1层03': 1}
152,153,北京市朝阳区豆各庄乡(北京皮革公司化工厂南院）,1,{'北京市朝阳区豆各庄乡(北京皮革公司化工厂南院）': 1}
153,154,北京市朝阳区豆各庄乡水牛坊村村南218号,1,{'北京市朝阳区豆各庄乡水牛坊村村南218号': 1}
154,155,北京市朝阳区双桥中路,1,{'北京市朝阳区双桥中路': 1}
155,156,北京市朝阳区豆各庄乡黄厂村南500米,1,{'北京市朝阳区豆各庄乡黄厂村南500米': 1}
156,157,北京市朝阳区豆各庄乡马家湾村,1,{'北京市朝阳区豆各庄乡马家湾村': 1}
157,158,北京市朝阳区豆各庄乡马家湾西侧厂房中部,1,{'北京市朝阳区豆各庄乡马家湾西侧厂房中部': 1}
158,159,北京市朝阳区豆各庄乡水牛坊村,1,{'北京市朝阳区豆各庄乡水牛坊村': 1}
159,160,北京市朝阳区豆各庄乡西马各庄村东村国际创意文化产业园,1,{'北京市朝阳区豆各庄乡西马各庄村东村国际创意文化产业园': 1}
160,161,北京市朝阳区双惠苑甲5号楼3层1单元320,1,{'北京市朝阳区双惠苑甲5号楼3层1单元320': 1}
161,162,北京市朝阳区双惠苑甲5号楼3层1单元320,1,{'北京市朝阳区双惠苑甲5号楼3层1单元320': 1}
162,163,北京市朝阳区豆各庄北里22号,1,{'北京市朝阳区豆各庄北里22号': 1}
163,164,北京市朝阳区豆各庄乡绿丰家园东侧,1,{'北京市朝阳区豆各庄乡绿丰家园东侧': 1}
164,165,北京市朝阳区豆各庄乡南何家村(2号库),1,{'北京市朝阳区豆各庄乡南何家村(2号库)': 1}
165,166,北京市朝阳区豆各庄乡石槽村西果园仓库5幢,1,{'北京市朝阳区豆各庄乡石槽村西果园仓库5幢': 1}
166,167,北京市朝阳区豆各庄乡石槽村254号,1,{'北京市朝阳区豆各庄乡石槽村254号': 1}
167,168,北京市朝阳区豆各庄乡孙家坡村北侧,1,{'北京市朝阳区豆各庄乡孙家坡村北侧': 1}
168,169,北京市朝阳区久文路6号院22号楼101内A室,1,{'北京市朝阳区久文路6号院22号楼101内A室': 1}
169,170,北京市朝阳区双桥中路110号21-28栋,1,{'北京市朝阳区双桥中路110号21-28栋': 1}
170,171,北京市朝阳区黑庄户乡大鲁店二村村北,1,{'北京市朝阳区黑庄户乡大鲁店二村村北': 1}
171,172,北京市朝阳区豆各庄乡于家围村东3号、10号、11号平房,1,{'北京市朝阳区豆各庄乡于家围村东3号、10号、11号平房': 1}
172,173,北京市朝阳区豆各庄乡西马各庄村101号,1,{'北京市朝阳区豆各庄乡西马各庄村101号': 1}
173,174,北京市朝阳区久文路6号院121号楼一层103号,1,{'北京市朝阳区久文路6号院121号楼一层103号': 1}
174,175,北京市朝阳区豆各庄乡石槽村西（纸袋厂）5号平房,1,{'北京市朝阳区豆各庄乡石槽村西（纸袋厂）5号平房': 1}
175,176,北京市朝阳区双桥路9号,1,{'北京市朝阳区双桥路9号': 1}
176,177,北京市朝阳区豆各庄乡石槽村254号,1,{'北京市朝阳区豆各庄乡石槽村254号': 1}
177,178,北京市朝阳区豆各庄乡豆各庄村（乡政府西侧）,1,{'北京市朝阳区豆各庄乡豆各庄村（乡政府西侧）': 1}
178,179,北京市朝阳区豆各庄乡于家围村,1,{'北京市朝阳区豆各庄乡于家围村': 1}
179,180,北京市朝阳区豆各庄于家围村南,1,{'北京市朝阳区豆各庄于家围村南': 1}
180,181,北京市朝阳区豆各庄乡豆各庄村村西,1,{'北京市朝阳区豆各庄乡豆各庄村村西': 1}
181,182,北京市朝阳区豆各庄乡于家围南队村南,1,{'北京市朝阳区豆各庄乡于家围南队村南': 1}
182,183,北京市朝阳区豆各庄乡孙家坡村村北,1,{'北京市朝阳区豆各庄乡孙家坡村村北': 1}
183,184,北京市朝阳区黄厂路49号,1,{'北京市朝阳区黄厂路49号': 1}
184,185,北京市朝阳区豆各庄乡孙家坡411车站路南,1,{'北京市朝阳区豆各庄乡孙家坡411车站路南': 1}
185,186,北京市朝阳区南豆各庄甲1号(第二监狱西侧),1,{'北京市朝阳区南豆各庄甲1号(第二监狱西侧)': 1}
186,187,北京市朝阳区豆各庄乡黄厂村,4,"{'北京市朝阳区豆各庄乡黄厂村': 4, '北京市朝阳区王四营地区办事处王四营大队村王四营路管庄村村北': 1, '北京市朝阳区王四营地区办事处官庄大队村管庄村村北': 1}"
187,188,北京市朝阳区豆各庄乡石槽村委会院内,5,{'北京市朝阳区豆各庄乡石槽村委会院内': 5}
188,189,北京市朝阳区双桥中路110号,5,{'北京市朝阳区双桥中路110号': 5}
189,190,北京市朝阳区豆各庄乡何家坟村北,4,{'北京市朝阳区豆各庄乡何家坟村北': 4}
190,191,北京市朝阳区豆各庄乡于家围南村,3,{'北京市朝阳区豆各庄乡于家围南村': 3}
191,192,北京市朝阳区南何家村金祥西路7号,1,"{'北京市朝阳区南何家村金祥西路7号': 1, '北京市朝阳区酒仙桥路3号巨龙光电宾馆402室': 1}"
192,193,北京市朝阳区观音惠园1号楼2层201-13,2,{'北京市朝阳区观音惠园1号楼2层201-13': 2}
193,194,北京市朝阳区豆各庄乡石槽村256号,3,"{'北京市朝阳区豆各庄乡石槽村256号': 3, '北京市朝阳区石槽村南路': 1}"
194,195,北京市朝阳区豆各庄乡何家坟村北,4,"{'北京市朝阳区豆各庄乡何家坟村北': 4, '北京市朝阳区豆各庄乡南何家村': 1}"
195,196,北京市朝阳区豆各庄西路甲4号厂区南部,5,{'北京市朝阳区豆各庄西路甲4号厂区南部': 5}
196,197,北京市朝阳区豆各庄乡石槽村263号,3,"{'北京市朝阳区豆各庄乡石槽村263号': 3, '北京市朝阳区豆各庄乡石槽村263号`石槽村263': 1}"
197,198,北京市朝阳区豆各庄黄厂村,4,"{'北京市朝阳区豆各庄黄厂村': 4, '北京市朝阳区豆各庄地区办事处黄厂村': 2, '北京市朝阳区豆各庄乡黄厂路': 2}"
198,199,北京市朝阳区黑庄户乡大鲁店二村北三支一号院,3,"{'北京市朝阳区黑庄户乡大鲁店二村北三支一号院': 3, '北京市朝阳区双桥农场马家湾村': 1}"
199,200,北京市朝阳区豆各庄乡于家围北村北区21号,3,"{'北京市朝阳区豆各庄乡于家围北村北区21号': 3, '北京市朝阳区豆各庄乡于家围北村北区21号以迁至': 1, '北京市大兴区亦庄': 1}"
200,201,北京市朝阳区豆各庄乡石槽村村东,4,{'北京市朝阳区豆各庄乡石槽村村东': 4}
201,202,北京市朝阳区豆各庄乡水牛坊村东南,1,"{'北京市朝阳区豆各庄乡水牛坊村东南': 1, '北京市丰台区长辛店德善里19号11号楼103': 1}"
202,203,北京市朝阳区豆各庄乡马家湾村村南,1,"{'北京市朝阳区豆各庄乡马家湾村村南': 1, '北京市通州区台湖镇北神树村': 1, '北京西联联合国际石材交易市场三区B28号': 1}"
203,204,北京市大兴区魏善庄镇半壁店中心西路8号102室,4,"{'北京市大兴区魏善庄镇半壁店中心西路8号102室': 4, '北京市朝阳区豆各庄乡南何家村(金田西路临3号-金田公园北侧)': 1}"
204,205,北京市朝阳区豆各庄乡石槽村双桥利通汽车厂后院,1,"{'北京市朝阳区豆各庄乡石槽村双桥利通汽车厂后院': 1, '北京市怀柔区华北物资市场北一区903033号': 1, '北京市怀柔区庙城镇庙城293号院2号楼3层': 1}"
205,206,北京市密云区华云工业园,3,"{'北京市密云区华云工业园': 3, '北京市朝阳区豆各庄乡双桥电镀厂院内': 1, '北京市朝阳区豆各庄乡马家湾村合作社': 1}"
206,207,北京市朝阳区豆各庄乡水牛坊村南甲1号,1,{'北京市朝阳区豆各庄乡水牛坊村南甲1号': 1}
207,208,北京市朝阳区豆各庄乡东马各庄村122号,2,{'北京市朝阳区豆各庄乡东马各庄村122号': 2}
208,209,北京市朝阳区豆各庄乡孙家坡村,1,{'北京市朝阳区豆各庄乡孙家坡村': 1}
209,210,北京市朝阳区豆各庄乡孙家坡村南,4,{'北京市朝阳区豆各庄乡孙家坡村南': 4}
210,211,北京市朝阳区豆各庄乡孙家坡村南,3,{'北京市朝阳区豆各庄乡孙家坡村南': 3}
