water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,"是否参与生成(0不参与,1参与)默认1",河流名称,权属,断面名称,考核街乡,水质标准,pH值,现状水质类别,溶解氧（mg/L),现状水质类别,高锰酸盐指数（mg/L),现状水质类别,化学需氧量（mg/L),现状水质类别,五日生化需氧量（mg/L),现状水质类别,氨氮（mg/L),现状水质类别,总磷（mg/L),现状水质类别,铜（mg/L),现状水质类别,锌（mg/L),现状水质类别,氟化物（mg/L),现状水质类别,硒（mg/L),现状水质类别,砷（mg/L),现状水质类别,汞（mg/L),现状水质类别,镉（mg/L),现状水质类别,六价铬（mg/L),现状水质类别,铅（mg/L),现状水质类别,氰化物（mg/L),现状水质类别,挥发酚（mg/L),现状水质类别,石油类（mg/L),现状水质类别,阴离子表面活性剂（mg/L),现状水质类别,硫化物（mg/L),现状水质类别
12,,北小河,区管,东岗子闸,金  盏,Ⅴ,7.57,Ⅰ,5.6,Ⅲ,5.9,Ⅲ,19,Ⅲ,5.1,Ⅳ,6.960,劣Ⅴ2,0.53,劣Ⅴ2,0.0033,Ⅰ,0.0032,Ⅰ,0.269,Ⅰ,0.00020,Ⅰ,0.00190,Ⅰ,0.00002,Ⅰ,0.00003,Ⅰ,0.002,Ⅰ,0.0001,Ⅰ,0.0020,Ⅰ,0.00015,Ⅰ,0.01,Ⅰ,0.03,Ⅰ,0.003,Ⅰ
13,,北小河,区管,东坝路,东  坝,Ⅴ,7.53,Ⅰ,6.0,Ⅱ,11.2,Ⅴ,38,Ⅴ,10.4,劣Ⅴ2,7.840,劣Ⅴ2,0.90,劣Ⅴ2,0.0021,Ⅰ,0.0062,Ⅰ,0.342,Ⅰ,0.00050,Ⅰ,0.00240,Ⅰ,0.00002,Ⅰ,0.00003,Ⅰ,0.002,Ⅰ,0.0002,Ⅰ,0.0020,Ⅰ,0.00015,Ⅰ,0.01,Ⅰ,0.32,劣Ⅴ1,0.003,Ⅰ
14,,清洋河,区管,入清河口,奥运村,Ⅳ,7.51,Ⅰ,5.7,Ⅲ,8.2,Ⅳ,41,劣Ⅴ1,11.2,劣Ⅴ2,4.760,劣Ⅴ1,0.76,劣Ⅴ2,0.0004,Ⅰ,0.0008,Ⅰ,0.242,Ⅰ,0.00060,Ⅰ,0.00100,Ⅰ,0.00002,Ⅰ,0.00003,Ⅰ,0.002,Ⅰ,0.0006,Ⅰ,0.0020,Ⅰ,0.00015,Ⅰ,0.08,Ⅳ,0.11,Ⅰ,0.003,Ⅰ
15,0,西干沟,区管,崔各庄孙河交界处,崔各庄,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
16,0,西干沟,区管,西干沟闸,孙  河,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
17,,沈家坟干渠,区管,李县坟村,孙  河,Ⅴ,8.39,Ⅰ,5.8,Ⅲ,7.4,Ⅳ,30,Ⅳ,8.4,Ⅴ,0.175,Ⅱ,0.19,Ⅲ,0.0034,Ⅰ,0.0017,Ⅰ,0.285,Ⅰ,0.00020,Ⅰ,0.00280,Ⅰ,0.00002,Ⅰ,0.00003,Ⅰ,0.002,Ⅰ,0.0000,Ⅰ,0.0020,Ⅰ,0.00015,Ⅰ,0.01,Ⅰ,0.03,Ⅰ,0.003,Ⅰ
18,0,沈家坟干渠,区管,高强公司,崔各庄,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
19,0,望京沟,区管,保利广场,望  京,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
20,0,望京沟,区管,望京公园东1门,崔各庄,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
21,0,沙子营西南排水沟,乡管,入清河口,孙  河,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
22,0,沙总排,乡管,入清河口,孙  河,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
23,,温榆河（右岸）,市管,苇沟闸,孙  河,Ⅴ,7.87,Ⅰ,8.0,Ⅰ,7.4,Ⅳ,32,Ⅴ,14.8,劣Ⅴ2,1.810,Ⅴ,0.30,Ⅳ,0.0020,Ⅰ,0.0300,Ⅰ,0.409,Ⅰ,0.00020,Ⅰ,0.00140,Ⅰ,0.00023,Ⅳ,0.00000,Ⅰ,0.002,Ⅰ,0.0100,Ⅰ,0.0000,Ⅰ,0.00000,Ⅰ,0.11,Ⅳ,0.17,Ⅰ,0.003,Ⅰ
24,,温榆河（右岸）,市管,温榆河大桥,金  盏,Ⅴ,7.94,Ⅰ,8.1,Ⅰ,7.6,Ⅳ,34,Ⅴ,14.4,劣Ⅴ2,2.920,劣Ⅴ1,0.26,Ⅳ,0.0020,Ⅰ,0.0300,Ⅰ,0.419,Ⅰ,0.00020,Ⅰ,0.00120,Ⅰ,0.00007,Ⅲ,0.00000,Ⅰ,0.002,Ⅰ,0.0100,Ⅰ,0.0000,Ⅰ,0.00000,Ⅰ,0.11,Ⅳ,0.12,Ⅰ,0.003,Ⅰ
25,,北护城河,市管,东直门闸,和平街,Ⅳ,8.07,Ⅰ,8.1,Ⅰ,3.5,Ⅱ,14,Ⅰ,7.4,Ⅴ,0.120,Ⅰ,0.06,Ⅱ,0.0030,Ⅰ,0.0300,Ⅰ,0.226,Ⅰ,0.00020,Ⅰ,0.00020,Ⅰ,0.00002,Ⅰ,0.00000,Ⅰ,0.002,Ⅰ,0.0100,Ⅰ,0.0000,Ⅰ,0.00000,Ⅰ,0.04,Ⅰ,0.12,Ⅰ,0.003,Ⅰ
26,,坝  河,区管,香河园西街,和平街,Ⅳ,8.03,Ⅰ,8.3,Ⅰ,4.2,Ⅲ,18,Ⅲ,8.2,Ⅴ,0.199,Ⅱ,0.06,Ⅱ,0.0010,Ⅰ,0.0300,Ⅰ,0.237,Ⅰ,0.00020,Ⅰ,0.00020,Ⅰ,0.00002,Ⅰ,0.00000,Ⅰ,0.002,Ⅰ,0.0100,Ⅰ,0.0000,Ⅰ,0.00000,Ⅰ,0.04,Ⅰ,0.15,Ⅰ,0.003,Ⅰ
27,,坝  河,区管,太阳宫中路,香河园,Ⅳ,7.91,Ⅰ,7.5,Ⅰ,3.9,Ⅱ,15,Ⅰ,7.2,Ⅴ,1.410,Ⅳ,0.17,Ⅲ,0.0010,Ⅰ,0.0300,Ⅰ,0.216,Ⅰ,0.00020,Ⅰ,0.00020,Ⅰ,0.00002,Ⅰ,0.00000,Ⅰ,0.002,Ⅰ,0.0100,Ⅰ,0.0000,Ⅰ,0.00000,Ⅰ,0.06,Ⅳ,0.07,Ⅰ,0.003,Ⅰ
28,,坝  河,区管,京密路辅路,望  京,Ⅳ,8.34,Ⅰ,7.3,Ⅱ,5.2,Ⅲ,24,Ⅳ,11.0,劣Ⅴ2,0.636,Ⅲ,0.09,Ⅱ,0.0010,Ⅰ,0.0300,Ⅰ,0.234,Ⅰ,0.00020,Ⅰ,0.00020,Ⅰ,0.00008,Ⅲ,0.00000,Ⅰ,0.002,Ⅰ,0.0100,Ⅰ,0.0000,Ⅰ,0.00000,Ⅰ,0.10,Ⅳ,0.10,Ⅰ,0.003,Ⅰ
29,,坝  河,区管,东四环北路辅路,太阳宫,Ⅳ,8.51,Ⅰ,8.2,Ⅰ,7.9,Ⅳ,27,Ⅳ,13.4,劣Ⅴ2,0.244,Ⅱ,0.08,Ⅱ,0.0020,Ⅰ,0.0300,Ⅰ,0.228,Ⅰ,0.00020,Ⅰ,0.00020,Ⅰ,0.00005,Ⅰ,0.00000,Ⅰ,0.002,Ⅰ,0.0100,Ⅰ,0.0000,Ⅰ,0.00000,Ⅰ,0.06,Ⅳ,0.10,Ⅰ,0.003,Ⅰ
30,,坝  河,区管,将府公园桥,将  台,Ⅴ,8.28,Ⅰ,7.3,Ⅱ,5.1,Ⅲ,28,Ⅳ,12.0,劣Ⅴ2,0.238,Ⅱ,0.11,Ⅲ,0.0010,Ⅰ,0.0300,Ⅰ,0.265,Ⅰ,0.00020,Ⅰ,0.00040,Ⅰ,0.00009,Ⅲ,0.00000,Ⅰ,0.002,Ⅰ,0.0100,Ⅰ,0.0000,Ⅰ,0.00000,Ⅰ,0.05,Ⅰ,0.10,Ⅰ,0.003,Ⅰ
31,,坝  河,区管,机场二高速下游无名桥,东  坝,Ⅴ,8.09,Ⅰ,7.9,Ⅰ,5.7,Ⅲ,26,Ⅳ,12.7,劣Ⅴ2,1.930,Ⅴ,0.20,Ⅲ,0.0010,Ⅰ,0.0300,Ⅰ,0.335,Ⅰ,0.00020,Ⅰ,0.00050,Ⅰ,0.00002,Ⅰ,0.00000,Ⅰ,0.002,Ⅰ,0.0100,Ⅰ,0.0000,Ⅰ,0.00000,Ⅰ,0.03,Ⅰ,0.14,Ⅰ,0.003,Ⅰ
32,,坝  河,区管,温榆河西路,金  盏,Ⅴ,7.95,Ⅰ,8.2,Ⅰ,5.9,Ⅲ,23,Ⅳ,12.1,劣Ⅴ2,2.160,劣Ⅴ1,0.26,Ⅳ,0.0010,Ⅰ,0.0300,Ⅰ,0.314,Ⅰ,0.00020,Ⅰ,0.00070,Ⅰ,0.00008,Ⅲ,0.00000,Ⅰ,0.002,Ⅰ,0.0100,Ⅰ,0.0000,Ⅰ,0.00000,Ⅰ,0.04,Ⅰ,0.16,Ⅰ,0.003,Ⅰ
33,,亮马河,区管,东三环北路辅路,左家庄、三里屯,Ⅳ,7.90,Ⅰ,7.4,Ⅱ,4.5,Ⅲ,24,Ⅳ,10.4,劣Ⅴ2,0.256,Ⅱ,0.13,Ⅲ,0.0010,Ⅰ,0.0300,Ⅰ,0.279,Ⅰ,0.00020,Ⅰ,0.00020,Ⅰ,0.00005,Ⅰ,0.00000,Ⅰ,0.002,Ⅰ,0.0100,Ⅰ,0.0000,Ⅰ,0.00000,Ⅰ,0.03,Ⅰ,0.17,Ⅰ,0.003,Ⅰ
34,,亮马河,区管,东四环北路辅路,麦子店,Ⅳ,8.33,Ⅰ,8.1,Ⅰ,4.9,Ⅲ,26,Ⅳ,11.4,劣Ⅴ2,0.208,Ⅱ,0.08,Ⅱ,0.0010,Ⅰ,0.0300,Ⅰ,0.374,Ⅰ,0.00020,Ⅰ,0.00030,Ⅰ,0.00010,Ⅲ,0.00000,Ⅰ,0.002,Ⅰ,0.0100,Ⅰ,0.0000,Ⅰ,0.00000,Ⅰ,0.03,Ⅰ,0.16,Ⅰ,0.003,Ⅰ
35,,亮马河,区管,怡思苑北门桥,将台、酒仙桥,Ⅳ,8.39,Ⅰ,7.5,Ⅰ,5.1,Ⅲ,27,Ⅳ,11.7,劣Ⅴ2,0.241,Ⅱ,0.09,Ⅱ,0.0010,Ⅰ,0.0300,Ⅰ,0.372,Ⅰ,0.00020,Ⅰ,0.00030,Ⅰ,0.00007,Ⅲ,0.00000,Ⅰ,0.002,Ⅰ,0.0100,Ⅰ,0.0000,Ⅰ,0.00000,Ⅰ,0.04,Ⅰ,0.12,Ⅰ,0.003,Ⅰ
36,,亮马河,区管,酒仙桥路,酒仙桥、东风,Ⅳ,8.47,Ⅰ,7.3,Ⅱ,5.5,Ⅲ,26,Ⅳ,11.6,劣Ⅴ2,0.238,Ⅱ,0.09,Ⅱ,0.0010,Ⅰ,0.0300,Ⅰ,0.378,Ⅰ,0.00020,Ⅰ,0.00120,Ⅰ,0.000090,Ⅲ,0.00000,Ⅰ,0.006,Ⅰ,0.0100,Ⅰ,0.0000,Ⅰ,0.00000,Ⅰ,0.04,Ⅰ,0.09,Ⅰ,0.003,Ⅰ
37,,亮马河,区管,三街坊市场桥,将台、东风,Ⅳ,8.45,Ⅰ,7.5,Ⅰ,6.4,Ⅳ,23,Ⅳ,12.5,劣Ⅴ2,0.291,Ⅱ,0.11,Ⅲ,0.0080,Ⅰ,0.0300,Ⅰ,0.372,Ⅰ,0.00020,Ⅰ,0.00060,Ⅰ,0.00002,Ⅰ,0.00000,Ⅰ,0.002,Ⅰ,0.0100,Ⅰ,0.0000,Ⅰ,0.00000,Ⅰ,0.10,Ⅳ,0.08,Ⅰ,0.003,Ⅰ
38,,亮马河,区管,驼房营南路,将台、酒仙桥,Ⅳ,8.44,Ⅰ,7.8,Ⅰ,6.2,Ⅳ,23,Ⅳ,11.9,劣Ⅴ2,0.273,Ⅱ,0.09,Ⅱ,0.0160,Ⅱ,0.0300,Ⅰ,0.365,Ⅰ,0.00020,Ⅰ,0.00050,Ⅰ,0.00002,Ⅰ,0.00000,Ⅰ,0.002,Ⅰ,0.0100,Ⅰ,0.0000,Ⅰ,0.00000,Ⅰ,0.06,Ⅳ,0.13,Ⅰ,0.003,Ⅰ
39,,亮马河,区管,南岗子七棵树,将台、东风,Ⅳ,8.08,Ⅰ,8.0,Ⅰ,5.1,Ⅲ,24,Ⅳ,10.0,Ⅴ,0.240,Ⅱ,0.10,Ⅱ,0.0070,Ⅰ,0.0300,Ⅰ,0.324,Ⅰ,0.00020,Ⅰ,0.00050,Ⅰ,0.00011,Ⅳ,0.00000,Ⅰ,0.006,Ⅰ,0.0100,Ⅰ,0.0000,Ⅰ,0.00000,Ⅰ,0.06,Ⅳ,0.15,Ⅰ,0.003,Ⅰ
40,,亮马河,区管,入坝河口,东  坝,Ⅳ,8.09,Ⅰ,8.0,Ⅰ,5.6,Ⅲ,21,Ⅳ,10.4,劣Ⅴ2,0.222,Ⅱ,0.10,Ⅱ,0.0040,Ⅰ,0.0300,Ⅰ,0.322,Ⅰ,0.00020,Ⅰ,0.00040,Ⅰ,0.00005,Ⅰ,0.00000,Ⅰ,0.002,Ⅰ,0.0100,Ⅰ,0.0000,Ⅰ,0.00000,Ⅰ,0.05,Ⅰ,0.11,Ⅰ,0.003,Ⅰ
41,,草场地排水沟,区管,入坝河口,东  坝,Ⅴ,7.95,Ⅰ,7.4,Ⅱ,5.1,Ⅲ,16,Ⅲ,9.1,Ⅴ,24.500,劣Ⅴ3,0.50,劣Ⅴ1,0.0020,Ⅰ,0.0300,Ⅰ,0.399,Ⅰ,0.00020,Ⅰ,0.00100,Ⅰ,0.00014,Ⅳ,0.00000,Ⅰ,0.002,Ⅰ,0.0100,Ⅰ,0.0000,Ⅰ,0.00000,Ⅰ,0.05,Ⅰ,1.33,劣Ⅴ3,0.003,Ⅰ
42,0,雍家坟排水沟,乡管,入坝河口,将  台,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
43,0,马各庄排水沟,乡管,入坝河口,金  盏,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
44,0,曹各庄排水沟,乡管,入坝河口,金  盏,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
45,0,沙窝村南排水沟,乡管,入坝河口,金  盏,Ⅴ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
46,,凉水河,市管,珊瑚桥,小红门,Ⅴ,7.74,Ⅰ,9.3,Ⅰ,3.6,Ⅱ,15,Ⅰ,1.4,Ⅰ,0.149,Ⅰ,0.08,Ⅱ,0.0005,Ⅰ,0.0250,Ⅰ,0.350,Ⅰ,0.00020,Ⅰ,0.00015,Ⅰ,0.00046,Ⅳ,0.00005,Ⅰ,0.006,Ⅰ,0.0010,Ⅰ,0.0010,Ⅰ,0.00030,Ⅰ,0.01,Ⅰ,0.05,Ⅰ,0.040,Ⅰ
47,,通惠干渠,市管,双园路,高碑店,Ⅴ,8.19,Ⅰ,1.9,劣Ⅴ1,9.0,Ⅳ,53,劣Ⅴ2,14.3,劣Ⅴ2,7.980,劣Ⅴ2,1.54,劣Ⅴ3,0.0005,Ⅰ,0.0250,Ⅰ,0.380,Ⅰ,0.00020,Ⅰ,0.00050,Ⅰ,0.00142,劣Ⅴ4,0.00005,Ⅰ,0.021,Ⅱ,0.0010,Ⅰ,0.0010,Ⅰ,0.00110,Ⅰ,0.42,Ⅳ,0.30,Ⅳ,0.116,Ⅲ
